sepal_length,sepal_width,petal_length,petal_width,species
3.7931772802833827,2.125748170684344,0.4009715926583812,0.3969066588244819,setosa
4.9,3.0,1.4,0.2,setosa
4.7,3.2,1.3,0.2,setosa
4.6,3.1,1.5,0.2,setosa
5.784119186699892,3.88024468035746,0.1,0.6600289067966789,setosa
5.4,3.9,1.7,0.4,setosa
4.6,3.4,1.4,0.3,setosa
5.0,3.4,1.5,0.2,setosa
4.4,2.9,1.4,0.2,setosa
5.946478461314871,2.0505501759695988,2.4128653944474383,0.1,setosa
4.751980627406144,3.2023318105597762,0.1,0.5131205639846959,setosa
2.897263865725815,3.981889183628671,0.30844271762819586,1.9618343374116571,setosa
3.9145858569464456,4.633063543866615,0.3582475626678896,0.1,setosa
4.3,3.0,1.1,0.1,setosa
5.8,4.0,1.2,0.2,setosa
6.224554503989052,5.579245214166594,1.5105483724207684,0.7076155385054365,setosa
5.999855723111061,4.707867509030813,2.483170677744404,1.960021367270265,setosa
5.1,3.5,1.4,0.3,setosa
4.007919639315173,2.959005811655072,0.34488514901601763,2.018790609370292,setosa
5.629223322374317,4.334118843043578,1.643098736299034,0.1,setosa
5.4,3.4,1.7,0.2,setosa
5.1,3.7,1.5,0.4,setosa
3.575958573516334,5.492042219009782,0.5723908986670416,1.768186220708453,setosa
5.443102325093853,5.060920965699831,2.001896711503516,0.1,setosa
5.303439662856945,3.4125450343203507,3.325959364753289,0.83477452647578,setosa
3.6517377083257188,1.2822749896017194,2.1696771128252625,0.1,setosa
5.532405829093072,2.7561191641948026,0.9968382984506436,1.3038227154809574,setosa
4.467688020625111,2.17797098674437,1.7272050498334006,1.9446190966431238,setosa
4.19092395800463,2.8238907146050463,2.4313844418574764,0.1,setosa
5.339936184136716,4.468888800804864,1.8208032463978494,0.31860231342402595,setosa
5.073234413341886,1.47469907131237,1.0708632122377342,0.1,setosa
5.108431154505025,4.672059063689972,2.9429223330253738,0.1,setosa
7.160215400417053,2.6603360609460958,1.573318609454947,1.6094922877118218,setosa
6.7273389570690565,6.162020568002694,1.0504707076457058,0.1,setosa
4.9,3.1,1.5,0.1,setosa
5.0,3.2,1.2,0.2,setosa
5.4578110411102525,5.442601816442403,0.2682210860460017,0.8885421896235142,setosa
4.9,3.1,1.5,0.1,setosa
4.4,3.0,1.3,0.2,setosa
4.644410551203096,5.244762255295656,3.121402567824255,0.1,setosa
3.464290562027665,1.684010568087011,0.1,1.721842336044029,setosa
4.5,2.3,1.3,0.3,setosa
6.21571430801035,4.859457560881794,0.7806348010217776,0.1,setosa
5.0,3.5,1.6,0.6,setosa
5.914631437520095,3.6966953163493006,0.2913366426040058,0.36646350046732945,setosa
5.785965620472096,3.5985315961888587,2.7968936419767116,0.9304515692013735,setosa
5.1,3.8,1.6,0.2,setosa
2.693087742943303,4.457873930355744,0.5274190990935996,0.1,setosa
5.3,3.7,1.5,0.2,setosa
5.0,3.3,1.4,0.2,setosa
7.0,3.2,4.7,1.4,versicolor
7.81203782186944,2.377795568278343,4.040390914407701,2.9045466860674276,versicolor
6.9,3.1,4.9,1.5,versicolor
5.5,2.3,4.0,1.3,versicolor
6.5,2.8,4.6,1.5,versicolor
5.24694138520215,4.546919954946938,3.050083776583973,0.6642654042010341,versicolor
7.641209982356951,2.583120259886943,3.446074041599417,0.1,versicolor
4.9,2.4,3.3,1.0,versicolor
6.6,2.9,4.6,1.3,versicolor
5.2,2.7,3.9,1.4,versicolor
4.893887083122262,0.6928074796400607,3.235406596951892,0.5940189375894938,versicolor
5.9,3.0,4.2,1.5,versicolor
7.610211626718266,2.2210094897914288,5.305829864430967,0.280198404122447,versicolor
6.1,2.9,4.7,1.4,versicolor
5.642989210310263,2.569644012595116,2.488431241882921,0.1,versicolor
6.670070775275455,1.880971951192178,5.289808461046022,0.5230894497634231,versicolor
7.4505936587117,4.343920482048823,5.283896824374792,1.1358117776570795,versicolor
6.751587666783074,2.917416210045603,4.546882984937408,0.6784002497111596,versicolor
7.012075835580712,1.654518409517176,6.387128330883843,3.349789179768445,versicolor
4.5059831007917515,3.0806911616377994,2.5974657160199657,1.8637509524098639,versicolor
